--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
414.539  000.080  000.080: require('import.core.get_filetype_config')
415.509  000.302  000.302: require('import.core.constants')
415.715  000.201  000.201: require('import.core.utils')
415.722  001.178  000.675: require('import.core.get_project_imports')
415.860  000.134  000.134: require('import.core.insert_line')
415.866  001.839  000.120: require('import.commands.pick')
415.873  002.869  000.698: require('import')
416.843  000.569  000.569: require('vim.health')
416.860  000.964  000.395: require('vim.deprecated.health')
417.550  000.561  000.561: require('conform')
418.411  000.403  000.403: require('vim.lsp.inlay_hint')
418.816  000.154  000.154: require('nnonne.utils.lazy')
418.824  000.397  000.243: require('nnonne.plugins.trouble')
419.047  000.176  000.176: require('nnonne.plugins.mini.starter')
420.237  001.076  001.076: require('mini.starter')
420.883  000.290  000.290: require('nnonne.plugins.oil')
424.623  001.433  001.433: require('oil')
425.262  000.423  000.423: require('oil.ringbuf')
425.668  000.396  000.396: require('oil.config')
434.741  007.485  007.485: require('vim.filetype')
437.590  000.310  000.310: require('oil.log')
437.658  000.701  000.391: require('oil.fs')
438.367  000.261  000.261: require('oil.constants')
438.442  000.778  000.517: require('oil.util')
439.128  000.231  000.231: require('oil-git-status.system')
439.209  000.757  000.526: require('oil-git-status')
441.423  000.623  000.623: require('oil-git.constants')
441.511  001.783  001.160: require('oil-git.config')
442.831  000.710  000.710: require('oil-git.path')
443.867  000.814  000.814: require('oil-git.status_mapper')
443.898  001.054  000.240: require('oil-git.trie')
444.250  000.346  000.346: require('oil-git.util')
444.271  002.755  000.645: require('oil-git.git')
445.520  001.244  001.244: require('oil-git.highlights')
445.622  006.127  000.345: require('oil-git')
446.892  000.736  000.736: require('oil-lsp-diagnostics')
447.320  000.353  000.353: require('nnonne.plugins.lualine')
450.741  000.179  000.179: require('lualine_require')
451.676  002.719  002.540: require('lualine')
453.949  000.315  000.315: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
