--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
153.671  000.376  000.376: require('mini.starter')
153.880  000.041  000.041: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
153.915  000.005  000.005: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
154.390  000.128  000.128: require('lualine_require')
155.300  001.371  001.243: require('lualine')
156.207  000.036  000.036: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
157.820  000.208  000.208: require('lualine.highlight')
160.116  000.026  000.026: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
160.170  000.012  000.012: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
160.198  000.008  000.008: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
160.221  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
160.243  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
160.263  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
160.350  000.008  000.008: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
160.376  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
160.982  000.014  000.014: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
161.051  000.009  000.009: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
161.142  000.010  000.010: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
161.164  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
161.518  000.009  000.009: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
161.552  000.009  000.009: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
161.570  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
161.589  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
161.611  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
161.630  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
161.646  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
161.665  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
161.680  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/.config/nvim-lazy/init.lua:0
